课程名称,星期,开始节次,结束节次,开始时间,结束时间,上课地点,周次,备注
C++程序设计,星期一,10,11,18:30,20:05,教一楼207,"2,3,4,5,6,7,8,9,10,11,12,13",
C++程序设计,星期三,10,11,18:30,20:05,教一楼207,"2,3,4,5,7,8,9,10,11,12,13",
C++程序设计,星期六,10,11,18:30,20:05,教一楼207,6,
科学技术史,星期五,1,3,08:30,11:10,教一楼207,"2,3,4,5,6,7,8,10,11,12,13,14,15",
Web安全技术,星期二,3,4,10:25,12:00,教一楼009,"2,3,4,5,7,8,9,10,11,12",
Web安全技术,星期四,3,4,10:25,12:00,教一楼009,"2,3,4,6,7,8,9,10,11",
Web安全技术,星期日,3,4,10:25,12:00,教一楼009,3,
并行处理,星期四,10,12,18:30,21:00,教一楼214,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",
计算机网络,星期四,5,7,13:30,16:10,教一楼107,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",
编译程序高级教程,星期一,5,7,13:30,16:10,教一楼108,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
形式语言与自动机理论,星期五,5,7,13:30,16:10,教一楼107,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",
学术道德与学术写作规范-通论,星期三,1,2,08:30,10:05,教二楼101,"7,8,9,10,11",
学术道德与学术写作规范-分论,星期五,10,11,18:30,20:05,教一楼002,"2,3,6,7,8",
新时代中国特色社会主义理论与实践,星期五,10,13,18:30,21:50,教二楼204,"11,12,13,14,15,16,17,18,19",
自然辩证法概论,星期三,5,8,13:30,17:00,教三楼208,"2,3,4,5,7,8,9,10",
自然辩证法概论,星期六,5,8,13:30,17:00,教三楼208,6,
